PERIODO,NUMEROS
201301,1
201302,2
201303,3
201304,4
201305,5
201306,6
201307,7
201308,8
201309,9
201310,10
201311,11
201312,12
201401,13
201402,14
201403,15
201404,16
201405,17
201406,18
201407,19
201408,20
201409,21
201410,22
201411,23
201412,24
201501,25
201502,26
201503,27
201504,28
201505,29
201506,30
201507,31
201508,32
201509,33
201510,34
201511,35
201512,36
201601,37
201602,38
201603,39
201604,40
201605,41
201606,42
201607,43
201608,44
201609,45
201610,46
201611,47
201612,48
201701,49
201702,50
